"","SHIP_ID","ship_type","SHIPNAME","port","FLAG","position"
"88",132427,"Cargo","PHOENIX II","Gdynia","PT","54.45469 18.99999 54.67082 19.80477 57349.6309481207"
"89",132427,"Cargo","PHOENIX II","Kalingrad","PT","54.45469 18.99999 54.67082 19.80477 57349.6309481207"
"90",132925,"Cargo","CONTAINERSHIPS 6","Klaipeda","DE","55.69683 21.12467 55.67983 21.1375 2057.547929552"
"91",134088,"Tanker","SEALING","Klaipeda","DE","55.73785 20.86011 55.73885 20.83035 1872.64669764703"
"92",142957,"Tanker","PATRICIA ESSBERGER","Kalingrad","PT","54.63329 19.89349 54.65217 19.85804 3107.27535507846"
"93",144106,"Cargo","NORDIC PHILIP","Kalingrad","CY","54.63322 19.89455 54.63261 19.91726 1468.11580346142"
"94",144450,"Tanker","BALTIC AMBITION","St. Petersburg","CY","59.91253 30.0457 59.91715 30.02296 1372.33549676463"
"95",144628,"Cargo","ARK FORWARDER","gothenborg","GB","57.67988 11.81698 57.61075 11.62227 13945.3223471351"
"96",145002,"Cargo","CEMSOL","Klaipeda","CY","55.81088 20.8829 55.82241 20.86578 1673.24898743905"
"97",145203,"Cargo","VITIM","Gdańsk","CY","54.45097 18.99401 55.74082 20.80078 184171.183059412"
"98",145203,"Cargo","VITIM","Gdynia","CY","54.45097 18.99401 55.74082 20.80078 184171.183059412"
"99",145203,"Cargo","VITIM","Klaipeda","CY","54.45097 18.99401 55.74082 20.80078 184171.183059412"
"100",145641,"Cargo","RUTH","St. Petersburg","CY","59.91788 30.0202 59.91236 30.0471 1625.67642754322"
"101",145692,"Cargo","HANNA","gothenborg","CY","57.6785 11.80817 57.66417 11.7795 2339.67357787209"
"102",145926,"Cargo","NAVI BALTIC","Klaipeda","CY","55.72889 21.0307 55.72868 21.05503 1528.80846806016"
"103",145981,"Cargo","BF FORTALEZA","St. Petersburg","CY","59.90128 30.1009 59.8981 30.11638 936.035841311742"
"104",146036,"Cargo","MAUREEN S","Klaipeda","CY","55.71506 21.11333 55.72418 21.09668 1458.03385312843"
